Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Elevator,Parking,Room Area,Balcony,Floor,Links
Country House,Stone,1200 sq.m.,2,5,2,Available,3 or more spots,Euro Renovation,,8+,Yes,Yes,Included,2 weeks,Tavush › Ijevan,"90,000 ֏ daily",AMD,"Daily rent and short-term rentpermanent hot-cold water supply is provided,gas supply, individual bax heatingsystem, windows and doors are Europeanproduction, 2 bathrooms, swimming pool, sauna,pavilion, barbecue, 4 bedrooms, open balconies,washing machine, refrigerator, TV, cable,internet, dishes, bedding, parking,garage, fresh air, beautiful view. If desiredWe can provide cars for 5-12 people for an additional fee.Not less than 2 days on Fridays, Saturdays and Sundays.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/12875509
House,Stone,180 sq.m.,2,5,1,Available,3 or more spots,Euro Renovation,1000 sq.m.,8+,Yes,No,By Agreement,By Agreement,"Orjonikidze Street, Dilijan station","5,000 ֏ daily",AMD,"Դիլիջանում տրվում է օրավարձով (1անձը5000-դրամ) տրվում է լրիվ նոր վերանորոգված տուն: Բնակարանն ունի 5 սենյակ, 4 ննջասենյակ, 1 մեծ հյուրասենյակ: Ապահովված է կոմունալ բոլոր հարմարություններով, Baxi ջեռուցման համակարգով, կա wi-fi կապ: Կա նաեւ ավտոկայանատեղի: Մանրամասների համար զանգահարել նշված հեռախոսահամարով.Տունը ազատել մինչեւ 12.00.Ցանկացած հյուրի դեպքում պետք է հավելյալ վճարել:Сдается полностью дом. В доме 5 комнат, 4 спальни и 1большая гостиная и санузел. Он обеспечен всеми коммунальными удобствами, системой отопления Baxi, есть wi-fi. Также есть парковка. За подробностями звоните по указанному телефону. Заезд в 14.00 выезд в 12.00.В случае любого гостья вы должны заплатить дополнительно.",Nov-24-2022_23-00,"TElevision, internet, air conditioner, swimming pool, barbecue oven, gazebo, alarm system","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",,,,,,https://list.am/en/item/15926471
House,Stone,240 sq.m.,2,4,2,Available,2 spots,Euro Renovation,,8+,Yes,No,Not included,By Agreement,Tavush › Dilijan,"65,000 ֏ daily",AMD,"600,000 per monthCode 0010 House for rent c. In Dilijan, in the central district.The mansion is two-story, has a beautiful pavilion with a barbecue, where you can spend an interesting time.On the first floor there are living room, fireplace room, kitchen, bathroom; On the second floor, there are 3 comfortable rooms, designed also for children, a bathroom, a balcony from where the beautiful nature of Dilijan opens. The house has all the comforts,WiFi:Smart TVHeatingWashing machineTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/14476319
House,Stone,1000 sq.m.,2,5,2,,1 spot,Major Renovation,,8+,Yes,No,Not included,By Agreement,Tavush › Dilijan,"40,000 ֏ daily",AMD,"350,000 per monthCode 0090 A private house is for daily rent in Dilijan. The house has 4 bedrooms, constant hot and cold water, gas, refrigerator, all necessary accessories. With its own yard and garden...Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/14613585
House,Stone,115 sq.m.,2,2,2,,,Designer Renovation,,,,,,,Tavush › Dilijan,"40,000 ֏ daily",AMD,Сдается гостевой дом…!Можно договорится на длиный срок!В гостинице есть:Принадлежности для кухни.На первом єтаже:ТуалетДиван (открывается)ХолодельникСтиральная машынаКрасивый водопадЕсть кресло (раскладушка)Wi-fiТелевизорКондиционерНа втаром єтаже:Большая краватьВанная комната с туалетомКресло (раскладушка)ТелевизорКондиционерНу и красивый вид на реку и горы!,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18195796
House,Stone,125 sq.m.,1,4,1,,,Euro Renovation,,8+,Yes,No,Not included,By Agreement,Tavush › Dilijan,"50,000 ֏ daily",AMD,"500,000 per monthCode 0019 Own house in Teghut for daily rentThere are 3 bedrooms, 1 living room, 1 bathroom, necessary dishes, bedding, constant hot and cold water. BAXI heating system, pavilion in a beautiful and unique garden. A tent site where one tent is available, you can pitch your own tent if you wish. Possibility to light a campfire,barbecue not only in the garden, but also on the terrace. Can accommodate up to 12 peopleThe safest and oxygen-rich Tavush is waiting for you with open arms.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/14488194
House,Stone,152 sq.m.,2,2,2,,Not available,Designer Renovation,152 sq.m.,4,Yes,No,Not included,By Agreement,"Getapnya street, Dilijan station","400,000 ֏ monthly",AMD,Сдается гостевой домВ гостинице есть:Принадлежности для кухни.На первом єтаже:ТуалетДиван (открывается)ХолодельникСтиральная машынаКрасивый водопадЕсть кресло (раскладушка)Wi-fiТелевизорКондиционерНа втаром єтаже:Большая краватьВанная комната с туалетомКресло (раскладушка)ТелевизорКондиционерНу и красивый вид на реку и горы!За дополнительной информацией звоните!,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18278092
Country House,Stone,100 sq.m.,2,5,2,Available,2 spots,Designer Renovation,1000 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"30,000 ֏ daily",AMD,"BOOKED ON NEW YEAR'SPrivate house for daily rent in Dilijan, Kalinin 32The house is three-storey, has 4 bedrooms, living room, pavilion, children's pool, internet, speakers, kitchen appliances,1 floor can also be provided, maximum 3 peopleTranslated from Armenian",Nov-24-2022_23-00,"TElevision, internet, barbecue oven, gazebo","FRidge, coffee maker, washing machine, water heater, iron",,,,,,https://list.am/en/item/18083263
Country House,Stone,100 sq.m.,2,2,1,Available,2 spots,Major Renovation,,3,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"25,000 ֏ daily",AMD,"House in Dilijan on Kalinini street, garden, pavilion, open balcony, internet, speakers, dishes, kettleTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18084683
Country House,Stone,300 sq.m.,3,8+,3+,Available,3 or more spots,Euro Renovation,2200 sq.m.,8+,Yes,Yes,Included,By Agreement,"Kamo St, Dilijan","60,000 ֏ daily",AMD,"A three-storey 11-room / 8-bedroom / private house is for daily rent in the beginning of Dilijan city, near the bends of Dilijan, near the forest, away from the noise of the city, with a wonderful view. Has a large guarded parking lot.Designed for family հանգիստ collective vacations. BAXI system is installed. It is provided with hot-cold constant water, electrical equipment.The house can accommodate 18 people, of which 4 on the first floor, 10 on the second floor, 4 on the third floor. The number of children is included in this number.On the ground floor there are 2 double bedrooms, a kitchen, a living room with a fireplace (fireplace), a bathroom. There is a sofa bed in the living room. There are washing and dishwashers in the kitchen. It is provided with essential items and dishes.On the second floor there are 4 bedrooms, one living room with kitchen, bathroom. There is a sofa bed in the living room. 2 of the bedrooms have three beds, 2 - double. It is provided with essential items and dishes. The second floor can accommodate 8-10 people.On the third floor there are 2 bedrooms, one living room, a bathroom. There is a sofa bed in the living room. The bedrooms are double. It is provided with essential items.There are 2 chat rooms-barbecues next to the private house, one of which is surrounded by nature. Each for 20-25 people, with all the accessories for the barbecue.The private house is rented separately, the amount of the first floor rent (up to 5 people) is 40 thousand. AMD, second floor / up to 10 people / 50 thousand. AMD /, third floor / 5 people / - 30 thousand. Money.In case of renting the first and second floor, the rent price is 60 thousand drams, in case of renting it in full, 90 thousand. Money.For more information you can visit booking. Com home Holiday home Golovino pageTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17895714
Country House,Stone,120 sq.m.,2,2,1,Available,Not available,Cosmetic Renovation,5100 sq.m.,8+,Yes,No,By Agreement,By Agreement,"6-րդ փողոց 2, Թեղուտ","30,000 ֏ daily",AMD,"Zory House - A mansion in DilijanNew Year's prices are now available.The house has two bedrooms, a bathroom, a large living room, a kitchen with all its utility and technical facilities) It has a large yard area, a pavilion for 16 people, a barbecue, a swing.Code houseZORTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/16768209
House,Stone,150 sq.m.,2,4,1,Available,Not available,Designer Renovation,890 sq.m.,8+,Yes,No,By Agreement,By Agreement,Tavush › Ijevan,"120,000 ֏ daily",AMD,"Sicilia Luxore Villa Garden & Pool:A luxurious private house is for daily rent in Ijjan, which has 4 bedrooms, a beautiful and comfortably furnished kitchen, a bathroom. Outside, a pavilion, a swimming pool and an orchard rich in palm trees and various trees.Code SicBigTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17920060
House,Stone,250 sq.m.,2,4,2,Available,Not available,Designer Renovation,1200 sq.m.,8+,Yes,Yes,By Agreement,By Agreement,Tavush › Ijevan,"100,000 ֏ daily",AMD,"New Year's prices are now available.The mansion is designed for 20-25 people, accommodation for 12-15 people.At your disposal.Large outdoor pavilion, BBQ, barbecue fireplace, international standard filtered swimming pool, large wooden swing, 4 furnished bedrooms, WiFiA wonderland of seasonal fruitsCode PalmaVilTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18284920
Country House,Wooden,180 sq.m.,2,3,2,,,Designer Renovation,,,,,,,"Kamo Street, Dilijan","70,000 ֏ daily",AMD,"Ecologically clean, newly built wooden private house in Dilijan chateau village complex.In the territory of the private house there is a private parking lot, a children's playground, 24-hour security control. The house has a sauna, fireplace, heating system, Wi-Fi, smart TV, ացյալ all other amenities to fully spend your family vacation.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17102393
House,Stone,100 sq.m.,1,3,2,Available,Not available,Designer Renovation,320 sq.m.,5,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"65,000 ֏ daily",AMD,"Nazluxanyan HouseA one-story summer house for daily rent in Dilijan, a beautiful and original version with a courtyard, which has 3 bedrooms, a living room, a kitchen, a bathroom with all its amenities. It is designed for 10-11 people.For details, please call, specifying the name of the option: Nazluxanyan HouseTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17248964
House,Stone,86 sq.m.,1,2,1,Available,Not available,Designer Renovation,480 sq.m.,5,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"28,000 ֏ daily",AMD,"Central Neighbor DilijanA very comfortable cottage in Dilijan is for daily rent for 4 people. The version has 1 bedroom, bathroom, small kitchen, nice outdoor recreation area. Call these numbers for details.For details, please call, specifying the name of the option:Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17147079
House,Stone,45 sq.m.,1,1,1,Available,Not available,Major Renovation,1100 sq.m.,3,Yes,No,By Agreement,By Agreement,Tavush › Ijevan,"15,000 ֏ daily",AMD,"Tea House - Cottages in IjjanThe cottage is presented in more detail in the video:2 large - 25 000 - 4 personsHas a bedroomLiving room:Bathroom——2 medium-sized cottages - 20,000 - 4 peopleHas 1 bedroom living roomBathroom——2 small cottages - 15000 - 4 peopleBedroom:Living room:Bathroom——For details, please call Tea House.Code TevraTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17508066
House,Stone,380 sq.m.,3,5,3+,Available,Not available,Euro Renovation,520 sq.m.,8+,Yes,Yes,By Agreement,By Agreement,"Maksim Gorky Street, Դիլիյան","70,000 ֏ daily",AMD,"Forest N9 House DilijanA large 3-story private house in the forested part of Dilijan is for daily rent. It has 5 bedrooms, living room, kitchen with all its furniture, swimming pool, sauna, tennis; It has a large pavilion outside with all its amenities. The house is designed for 12 people.For details, please call, specifying the option name: Forest N9 House Dilijan.Code fores9Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/16941127
House,Stone,110 sq.m.,2,3,1,By agreement,Not available,Designer Renovation,964 sq.m.,8+,Yes,Yes,By Agreement,By Agreement,Tavush › Dilijan,"70,000 ֏ daily",AMD,"Forest ClubA very beautiful and elegant two-story private house is for daily rent in Dilijan, right next to Parz Lake. It has 3 bedrooms, a comfortable kitchen, a living room, a bathroom with all its amenities. It is planned for 6-8 people overnight. For details, call and mention the code: Forest Club GardenCode: ForstCubTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18137420
